word,syllable break,phoneme,syllabilized phonemes
paul's,pauls,p ˈɔ l z,
moored,,m ˈʊ ɹ d,
admittance,,ə d m ˈɪ t ə n s,
chatter,chat.ter,t͡ʃ ˈæ t ɚ,t͡ʃ ˈæ t . ɚ
finn,finn,f ˈɪ n,f ˈɪ n
globe,globe,ɡ l ˈoʊ b,ɡ l ˈoʊ b
vowed,,v ˈaʊ d,
flames,flames,f l ˈeɪ m z,
labor,la.bor,l ˈeɪ b ɚ,l ˈeɪ b . ɚ
occupation,oc.cu.pa.tion,ˌɑ k j ə p ˈeɪ ʃ ə n,ˌɑ . k j ə . p ˈeɪ ʃ . ə n
gyre,,d͡ʒ ˈaɪ ɚ,
haddocks,,h ˈæ d ə k s,
nastiest,,n ˈæ s t i ɪ s t,
owe,owe,ˈoʊ,ˈoʊ
chess,chess,t͡ʃ ˈɛ s,t͡ʃ ˈɛ s
cos,,k ˈɔ s,
tads,tads,t ˈæ d z,
it'll,,ˈɪ t ə l,
barbara,,b ˈɑ ɹ b ɚ ə,
lucy,,l ˈu s i,
yea,yea,j ˈeɪ,
fairy,fair.y,f ˈɛ ɹ i,f ˈɛ ɹ . i
sinner,sin.ner,s ˈɪ n ɚ,s ˈɪ n . ɚ
feverish,,f ˈi v ɚ ɪ ʃ,
soothsayer,,s ˌu θ s ˈeɪ ɚ,
lawson,,l ˈɔ s ə n,
subdued,sub.dued,s ʌ b d ˈu d,s ʌ b . d ˈu d
deafening,,d ˈɛ f ə n ɪ ŋ,
curved,curved,k ˈɚ v d,k ˈɚ v d
lamb's,lambs,l ˈæ m z,
choosing,,t͡ʃ ˈu z ɪ ŋ,
forty,for.ty,f ˈɔ ɹ t i,
crook,crook,k ɹ ˈʊ k,k ɹ ˈʊ k
wanderers,,w ˈɔ n d ɚ ɚ z,
yourselves,your.selves,j ʊ ɹ s ˈɛ l v z,j ʊ ɹ . s ˈɛ l v z
sagacity,,s ˈæ ɡ ə s ɪ t i,
downheaded,,d ˈaʊ n h ˈi d ɪ d,
cracker,crack.er,k ɹ ˈæ k ɚ,k ɹ ˈæ k . ɚ
zara,za.ra,z ˈɛ ɹ ə,z ˈɛ . ɹ ə
sincere,sin.cere,s ɪ n s ˈɪ ɹ,s ɪ n . s ˈɪ ɹ
shilling,,ʃ ˈɪ l ɪ ŋ,
dreamt,,d ɹ ˈɛ m t,
jay,jay,d͡ʒ ˈeɪ,d͡ʒ ˈeɪ
followers,fol.low.ers,f ˈɑ l oʊ ɚ z,
eighteen,eight.een,eɪ t ˈi n,eɪ t . ˈi n
queer,queer,k w ˈɪ ɹ,k w ˈɪ ɹ
blackbird,,b l ˈæ k b ɚ d,
butcher,butch.er,b ˈʊ t͡ʃ ɚ,b ˈʊ t͡ʃ . ɚ
ilse,,ˈɪ l s,
resource,re.source,ɹ ˈi s ɔ ɹ s,ɹ ˈi . s ɔ ɹ s
merry,mer.ry,m ˈɛ ɹ i,m ˈɛ ɹ . i
whirring,,w ˈɚ ɪ ŋ,
zero,ze.ro,z ˈɪ ɹ oʊ,z ˈɪ ɹ . ɹ oʊ
opinion,o.pin.ion,ə p ˈɪ n j ə n,ə . p ˈɪ n . j ə n
gloomily,,ɡ l ˈu m ə l i,
woozle,,w ˈʊ z ə l,
pauper,,p ˈɔ p ɚ,
nay,,n ˈeɪ,
admits,ad.mits,ə d m ˈɪ t s,ə d . m ˈɪ t s
eighteenth,eight.eenth,eɪ t ˈi n θ,eɪ t . ˈi n θ
burrows,bur.rows,b ˈɚ oʊ z,
billy,,b ˈɪ l i,
wagged,,w ˈæ ɡ d,
suet,,s ˈu t,
scoff,scoff,s k ˈɔ f,s k ˈɔ f
longest,,l ˈɔ ŋ ɡ ɪ s t,
vaguely,vague.ly,v ˈeɪ ɡ l i,v ˈeɪ ɡ l . i
david's,,d ˈeɪ v ɪ d z,
shuts,shuts,ʃ ˈʌ t s,
cheat,cheat,t͡ʃ ˈi t,t͡ʃ ˈi t
grazing,,ɡ ɹ ˈeɪ z ɪ ŋ,
lodge,lodge,l ˈɑ d͡ʒ,l ˈɑ d͡ʒ
china,chi.na,t͡ʃ ˈaɪ n ə,t͡ʃ ˈaɪ . n ə
encourage,en.cour.age,ɪ ŋ k ˈɚ ɪ d͡ʒ,ɪ ŋ . k ˈɚ . ɪ d͡ʒ
slam,slam,s l ˈæ m,s l ˈæ m
shawl,shawl,ʃ ˈɔ l,ʃ ˈɔ l
dollars,dol.lars,d ˈɑ l ɚ z,d ˈɑ . l ɚ z
eagles,ea.gles,ˈi ɡ ə l z,ˈi . ɡ ə l z
oath,oath,ˈoʊ θ,ˈoʊ θ
lemon,lem.on,l ˈɛ m ə n,l ˈɛ m . ə n
farther,,f ˈɑ ɹ ð ɚ,
february,feb.ru.ar.y,f ˈɛ b j u ˌɛ ɹ i,f ˈɛ b j u . ˌɛ ɹ i
labourers,,l ə b ˌɔ ɹ ɚ z,
answers,an.swers,ˈæ n s ɚ z,ˈæ n . s ɚ z
shire,,ʃ ˈaɪ ɚ,
runaway,run.a.way,ɹ ˈʌ n ə w ˌeɪ,ɹ ˈʌ n . ə . w ˌeɪ
squire,,s k w ˈaɪ ɚ,
colt,colt,k ˈoʊ l t,k ˈoʊ l t
twitching,,t w ˈɪ t͡ʃ ɪ ŋ,
racer,rac.er,ɹ ˈeɪ s ɚ,ɹ ˈeɪ s . ɚ
pea,pea,p ˈi,p ˈi
andy,,ˈæ n d i,
perceived,perceived,p ɚ s ˈi v d,
hippo,,h ˈɪ p oʊ,
title,ti.tle,t ˈaɪ t ə l,t ˈaɪ . t ə l
impetuous,,ɪ m p ˈɛ t͡ʃ u ə s,
fashioned,,f ˈæ ʃ ə n d,
guise,guise,ɡ ˈaɪ z,ɡ ˈaɪ z
firm,firm,f ˈɚ m,f ˈɚ m
liqueur,,l ɪ k ˈɚ,
hannibal,,h ˈæ n ɪ b ə l,
relatives,rel.a.tives,ɹ ˈɛ l ɪ t ɪ v z,
hilarious,hi.lar.i.ous,h ɪ l ˈɛ ɹ i ə s,h ɪ . l ˈɛ ɹ . i . ə s
infinite,in.fi.nite,ˈɪ n f ɪ n ɪ t,ˈɪ n . f ɪ . n ɪ t
lili,,l ˈɪ l i,
hurrying,,h ˈɚ i ɪ ŋ,
roused,,ɹ ˈaʊ z d,
carelessly,,k ˈɛ ɹ l ə s l i,
mercy,mer.cy,m ˈɚ s i,m ˈɚ . s i
furnish,fur.nish,f ˈɚ n ɪ ʃ,f ˈɚ . n ɪ ʃ
invention,in.ven.tion,ɪ n v ˈɛ n ʃ ə n,ɪ n . v ˈɛ n . ʃ ə n
customer,cus.tom.er,k ˈʌ s t ə m ɚ,k ˈʌ s . t ə . m ɚ
pussy,pus.sy,p ˈʊ s i,p ˈʊ s . i
whom,whom,h ˈu m,
doorstep,door.step,d ˈɔ ɹ s t ˌɛ p,d ˈɔ ɹ . s t ˌɛ p
nightly,night.ly,n ˈaɪ t l i,n ˈaɪ t . l i
chatterer,,t͡ʃ ˈæ t ɚ ɚ,
fiddle,fid.dle,f ˈɪ d ə l,f ˈɪ d . ə l
purchase,pur.chase,p ˈɚ t͡ʃ ə s,
midget,,m ˈɪ d͡ʒ ə t,
peter's,pe.ters,p ˈi t ɚ z,
gimble,,ɡ ˈɪ m b ə l,
god's,gods,ɡ ˈɑ d z,
sneer,sneer,s n ˈɪ ɹ,s n ˈɪ ɹ
receives,re.ceives,ɹ ɪ s ˈi v z,ɹ ɪ . . s ˈi v z
jerry,,d͡ʒ ˈɛ ɹ i,
pounds,pounds,p ˈaʊ n d z,
owed,,ˈoʊ d,
dame,dame,d ˈeɪ m,d ˈeɪ m
brooch,,b ɹ ˈoʊ t͡ʃ,
absolute,ab.so.lute,ˈæ b s ə l ˌu t,ˈæ b . s ə . l ˌu t
heyday,hey.day,h ˈeɪ d ˌeɪ,h ˈeɪ d . ˌeɪ
chairs,chairs,t͡ʃ ˈɛ ɹ z,t͡ʃ ˈɛ ɹ z
yards,yards,j ˈɑ ɹ d z,j ˈɑ ɹ d z
fore,fore,f ˈɔ ɹ,f ˈɔ ɹ
conflict,con.flict,k ˈɑ n f l ɪ k t,k ˈɑ n . f l ɪ k t
axolotls,ax.o.lot.ls,ˈæ k s ə l ə t l s,ˈæ k s . ə . l ɔ t . ə l s
lilly,lil.ly,l ˈɪ l i,l ˈɪ . l i
repeats,re.peats,ɹ ɪ p ˈi t s,ɹ ɪ . p ˈi t s
nah,Nah,n ˈɑ,n ˈɑ
remarkables,re.mark.a.bles,ɹ ɪ m ˈɑ ɹ k ə b ə l z,ɹ ɪ . m ˈɑ ɹ k . ə . b ə l z
l,l,ˈɛ l,ˈɛ l
favorites,fa.vor.ites,f ˈeɪ v ɚ ɪ t s,f ˈeɪ . v ɚ . ɹ ɪ t s
chocolate,choc.o.late,t͡ʃ ˈɔ k l ɪ t,t͡ʃ ˈɔ . k ə . l ɪ t
roasted,roast.ed,ɹ ˈoʊ s t ɪ d,ɹ ˈoʊ s t . ɪ d
scratchings,scratch.ings,s k ɹ ˈæ t͡ʃ ɪ ŋ z,s k ɹ ˈæ t͡ʃ . ɪ ŋ z
compatibles,com.pat.i.bles,k ə m p ˈæ t ɪ b ə l z,k ə m . p ˈæ t . ɪ . b ə l z
movements,move.ments,m ˈu v m ə n t s,m ˈu v . m ə n t s
shawn,shawn,ʃ ˈɔ n,ʃ ˈɔ n
nitwit,nit.wit,n ˈɪ t w ɪ t,n ˈɪ t . w ɪ t
posing,pos.ing,p ˈoʊ z ɪ ŋ,p ˈoʊ z . ɪ ŋ
leaders,lead.ers,l ˈi d ɚ z,l ˈi . d ɚ z
bells,bells,b ˈɛ l z,b ˈɛ l z
glorious,glo.ri.ous,ɡ l ˈɔ ɹ i ə s,ɡ l ˈɔ . ɹ i . ə s
downloads,down.loads,d ˈaʊ n l ˌoʊ d z,d ˈaʊ n . l ˌoʊ d z
renditions,ren.di.tions,ɹ ɛ n d ˈɪ ʃ ə n z,ɹ ɛ n . d ˈɪ . ʃ ə n z
areas,ar.e.as,ˈɛ ɹ i ə z,ˈɛ ɹ . i . ə z
nan,nan,n ˈæ n,n ˈæ n
mei,mei,m ˈeɪ,m ˈeɪ
personals,per.son.als,p ˈɚ s ɪ n ɪ l z,p ˈɚ . s ɪ n . ɪ l z
charges,charg.es,t͡ʃ ˈɑ ɹ d͡ʒ ɪ z,t͡ʃ ˈɑ ɹ d͡ʒ . ɪ z
characters,char.ac.ters,k ˈɛ ɹ ɪ k t ɚ z,k ˈɛ ɹ . ɪ k . t ɚ z
dresses,dresses,d ɹ ˈɛ s ɪ z,d ɹ ˈɛ s . s ɪ z
flees,flees,f l ˈi z,f l ˈi z
flutes,flutes,f l ˈu t s,f l ˈu t s
recognitions,re.cog.ni.tions,ɹ ˈɛ k ə ɡ n ˈɪ ʃ ə n z,ɹ ˈɛ . k ə ɡ . n ˈɪ . ʃ ə n z
developed,de.vel.oped,d ɪ v ˈɛ l ə p t,d ɪ . v ˈɛ l . ə p t
choses,cho.ses,t͡ʃ ˈoʊ z ə z,t͡ʃ ˈoʊ . z ə z
unlocks,un.locks,ʌ n l ə k s,ʌ n . l ə k s
programs,pro.grams,p ɹ ˈoʊ ɡ ɹ ˌæ m z,p ɹ ˈoʊ . ɡ ɹ ˌæ m z
boils,boils,b ˈɔɪ l z,b ˈɔɪ l z
tyres,ty.res,t ˈaɪ ɚ z,t ˈaɪ . ɚ z
tyre,ty.re,t ˈaɪ ɚ,t ˈaɪ . ɚ
tomans,to.mans,t oʊ m ə n z,t oʊ . m ə n z
holidays,hol.i.days,h ˈɑ l ɪ d ˌeɪ z,h ˈɑ . l ɪ . d ˌeɪ z
remembers,re.mem.bers,ɹ ɪ m ˈɛ m b ɚ z,ɹ ɪ . m ˈɛ m . b ɚ z
outstandings,out.stand.ings,ˈaʊ t s t ˈæ n d ɪ ŋ z,ˈaʊ t . s t ˈæ n d . ɪ ŋ z
strawberry,straw.ber.ry,s t ɹ ˈɔ b ˌɛ ɹ i,s t ɹ ˈɔ . b ˌɛ ɹ . ɹ i
watercolors,wa.ter.col.ors,w ˈɔ t ɚ k ˌʌ l ɚ z,w ˈɔ . t ɚ . k ˌʌ . l ɚ z
agrees,a.grees,ə ɡ ɹ ˈi z,ə . ɡ ɹ ˈi z
realizes,re.al.iz.es,ɹ ˈi ə l ˌaɪ z ɪ z,ɹ ˈi . ə l . ˌaɪ . z ə z
moons,moons,m ˈu n z,m ˈu n z
spewed,spewed,s p j ˈu d,s p j ˈu d
rowed,rowed,ɹ ˈoʊ d,ɹ ˈoʊ d
rifkas,rif.kas,ɹ ˈɪ f k ə s,ɹ ˈɪ f . k ə s
wails,wails,w ˈeɪ l z,w ˈeɪ l z
crowns,crowns,k ɹ ˈaʊ n z,k ɹ ˈaʊ n z
coughs,coughs,k ˈɔ f s,k ˈɔ f s
claps,claps,k l ˈæ p s,k l ˈæ p s
rags,rags,ɹ ˈæ ɡ z,ɹ ˈæ ɡ z
floss,floss,f l ˈɑ s,f l ˈɑ s
englishes,eng.lish.es,ɪ ŋ ɡ l ɪ ʃ ɪ z,ɪ ŋ ɡ . l ɪ ʃ . ə z
practise,prac.tise,p ɹ ˈæ k t ɪ s,p ɹ ˈæ k . t ɪ s
dye,dye,d ˈaɪ,d ˈaɪ
behaviors,be.hav.iors,b ɪ h ˈeɪ v j ɚ z,b ɪ . h ˈeɪ . v j ɚ z
arguments,arg.u.ments,ˈɑ ɹ ɡ j ə m ə n t s,ˈɑ ɹ ɡ . j ə . m ə n t s
artists,art.ists,ˈɑ ɹ t ɪ s t s,ˈɑ ɹ . t ɪ s t s
codes,codes,k ˈoʊ d z,k ˈoʊ d z
tal,tal,t ˈɑ l,t ˈɑ l
papua,pa.pu.a,p ˈæ p ˈu ə,p ˈæ . p ˈu . ə
grown-up,grown.up,ɡ ɹ ˈoʊ n ˈʌ p,ɡ ɹ ˈoʊ n . ˈʌ p
con,con,k ˈɑ n,k ˈɑ n
true,true,t ɹ ˈu,t ɹ ˈu
banned,banned,b ˈæ n d,b ˈæ n d
dilemmas,di.lem.mas,d ə l ˈɛ m ə z,d ə . l ˈɛ m . ə z
dislodges,dis.lodge.s,d ɪ s l ˈɑ d͡ʒ ɪ z,d ɪ s . l ˈɑ d͡ʒ . ə z
subscription,sub.scrip.tion,s ə b s k ɹ ˈɪ p ʃ ə n,s ə b . s k ɹ ˈɪ p . ʃ ə n
gimp-pee,gimp.pee,ɡ ˈɪ m p p ˈi,ɡ ˈɪ m p . p ˈi
selects,se.lects,s ə l ˈɛ k t s,s ə . l ˈɛ k t s
subscribes,sub.scribes,s ə b s k ɹ ˈaɪ b z,s ə b . s k ɹ ˈaɪ b z
vanilla,va.nil.la,v ə n ˈɪ l ə,v ə . n ˈɪ l . ə
rifki,rif.ki,ɹ ˈɪ f k i,ɹ ˈɪ f . k i
ages,a.ges,ˈeɪ d͡ʒ ɪ z,ˈeɪ . d͡ʒ ɪ z
aunts,aunts,ˈæ n t s,ˈæ n t s
ragnaroks,rag.nar.oks,ɹ ˈæ ɡ n ˈɑ ɹ ə k s,ɹ ˈæ ɡ . n ˈɑ ɹ . ɹ ɔ k s
doras,do.ras,d ˈɔ ɹ ə z,d ˈɔ ɹ . ə z
invents,in.vents,ɪ n v ˈɛ n t s,ɪ n . v ˈɛ n t s
f,f,ˈɛ f,ˈɛ f
craters,cra.ters,k ɹ ˈeɪ t ɚ z,k ɹ ˈeɪ . t ɚ z
neighborhood,neigh.bor.hood,n ˈeɪ b ɚ h ˌʊ d,n ˈeɪ . b ɚ . h ˌʊ d
ice-creams,ice.creams,ˈaɪ s k ɹ ˈi m z,ˈaɪ s . k ɹ ˈi m z
streaks,streaks,s t ɹ ˈi k s,s t ɹ ˈi k s
gnawed,gnawed,n ˈɔ d,n ˈɔ d
neighbor,neigh.bor,n ˈeɪ b ɚ,n ˈeɪ . b ɚ
apologise,a.pol.o.gise,ə p ˈɑ l ə d͡ʒ ˌaɪ z,ə . p ˈɑ l . ə . d͡ʒ ˌaɪ z
crates,crates,k ɹ ˈeɪ t s,k ɹ ˈeɪ t s
scissors,scis.sors,s ˈɪ z ɚ z,s ˈɪ . z ɚ z
terrorises,ter.ror.i.ses,t ˈɛ ɹ ɚ ˌaɪ z ɪ z,t ˈɛ ɹ . ɹ ɚ . ˌaɪ . z ɪ z
stable,sta.ble,s t ˈeɪ b ə l,s t ˈeɪ . b ə l
setups,set.ups,s ˈɛ t ˌʌ p s,s ˈɛ t . ˌʌ p s
mama,ma.ma,m ˈɑ m ə,m ˈɑ . m ə
false,false,f ˈɔ l s,f ˈɔ l s
sanctuary,sanc.tu.ar.y,s ˈæ ŋ k t͡ʃ u ˌɛ ɹ i,s ˈæ ŋ k . t͡ʃ u . ˌɛ ɹ . i
bennys,ben.nyz,b ˈɛ n i z,b ˈɛ n . i z
shawns,shawns,ʃ ˈɔ n z,ʃ ˈɔ n z
meetings,meet.ings,m ˈi t ɪ ŋ z,m ˈi . t ɪ ŋ z
fathers,fa.thers,f ˈɑ ð ɚ z,f ˈɑ . ð ɚ z
gamelan,ga.me.lan,ɡ ʌ m ə l ʌ n,ɡ ʌ . m ə . l ʌ n
pellets,pel.lets,p ˈɛ l ɪ t s,p ˈɛ l . ɪ t s
belongings,be.long.ings,b ɪ l ˈɔ ŋ ɪ ŋ z,b ɪ l ˈɔ ŋ ɪ ŋ z
swaps,swaps,s w ˈɑ p s,s w ˈɑ p s
scatterings,scat.ter.ings,s k ˈæ t ɚ ɪ ŋ z,s k ˈæ . t ɚ . ɪ ŋ z
khans,khans,k h ˈæ n z,k h ˈæ n z
contents,con.tents,k ˈɑ n t ɛ n t s,k ˈɑ n . t ɛ n t s
clears,clears,k l ˈɪ ɹ z,k l ˈɪ ɹ z
screamed,screamed,s k ɹ ˈi m d,s k ɹ ˈi m d
wrappers,wrap.pers,ɹ ˈæ p ɚ z,ɹ ˈæ p . ɚ z
kilogramme,kil.o.gramme,k ˈɪ l ə ɡ ɹ ˈæ m,k ˈɪ l . ə . ɡ ɹ ˈæ m
speeches,speech.es,s p ˈi t͡ʃ ɪ z,s p ˈi t͡ʃ . ə z
selling,sell.ing,s ˈɛ l ɪ ŋ,s ˈɛ l . ɪ ŋ
wee,wee,w ˈi,w ˈi
challenges,chal.leng.es,t͡ʃ ˈæ l ɪ n d͡ʒ ɪ z,t͡ʃ ˈæ l . ɪ n d͡ʒ . ə z
persons,per.sons,p ˈɚ s ə n z,p ˈɚ . s ə n z
smoldering,smol.der.ing,s m ˈoʊ l d ɚ ɪ ŋ,s m ˈoʊ l . d ɚ . ɪ ŋ
riza,ri.za,ɹ ˈi z ə,ɹ ˈi . z ə
discounts,dis.counts,d ˈɪ s k aʊ n t s,d ˈɪ s . k aʊ n t s
apologizes,a.pol.o.giz.es,ə p ˈɑ l ə d͡ʒ ˌaɪ z ɪ z,ə . p ˈɑ l . ə . d͡ʒ ˌaɪ z . ə z
realized,re.al.ized,ɹ ˈi ə l ˌaɪ z d,ɹ ˈi . ə l . ˌaɪ z d
instruction,in.struc.tion,ɪ n s t ɹ ˈʌ k ʃ ə n,ɪ n . s t ɹ ˈʌ k . ʃ ə n
heron,he.ron,h ˈɛ ɹ ə n,h ˈɛ . ɹ ə n
verifications,ver.i.fi.ca.tions,v ˈɛ ɹ ɪ f ɪ k ˈeɪ ʃ ə n z,v ˈɛ ɹ . ɪ . f ɪ . k ˈeɪ . ʃ ə n z
rizas,ri.zas,ɹ ˈaɪ z ə z,ɹ ˈaɪ . z ə z
meager,mea.ger,m ˈi ɡ ɚ,m ˈi . ɡ ɚ
drawers,drawers,d ɹ ˈɔ ɹ z,d ɹ ˈɔ . ɹ z
flavors,fla.vors,f l ˈeɪ v ɚ z,f l ˈeɪ . v ɚ z
participants,par.tic.i.pants,p ɑ ɹ t ˈɪ s ə p ə n t s,p ɑ ɹ . t ˈɪ s . s ɪ . p ə n t s
shapeshifters,shape.shif.ters,ʃ ˈeɪ p ʃ ɪ f t ɚ z,ʃ ˈeɪ p . ʃ ɪ f . t ɚ z
choo,choo,t͡ʃ ˈu,t͡ʃ ˈu
drafts,drafts,d ɹ ˈæ f t s,d ɹ ˈæ f t s
emails,e.mails,i m ˈeɪ l z,i . m ˈeɪ l z
d,d,d ˈi,d ˈi
profiles,pro.files,p ɹ ˈoʊ f ˌaɪ l z,p ɹ ˈoʊ . f ˌaɪ l z
preens,preens,p ɹ ˈi n z,p ɹ ˈi n z
cloths,cloths,k l ˈɔ θ s,k l ˈɔ θ s
markets,mar.kets,m ˈɑ ɹ k ɪ t s,m ˈɑ ɹ . k ɪ t s
neighbors,neigh.bors,n ˈeɪ b ɚ z,n ˈeɪ . b ɚ z
answering,an.swer.ing,ˈæ n s ɚ ɪ ŋ,ˈæ n . s ɚ . ɪ ŋ
mediaeval,me.di.ae.val,m ɪ d ˈi v ə l,m ɪ . d ˈi . v ə l
biscuits,bis.cuits,b ˈɪ s k ə t s,b ˈɪ s.  k ə t s
annuals,an.nu.als,ˈæ n u ə l z,ˈæ n . n u . ə l z
hooray,hoo.ray,h ʊ ɹ ˈeɪ,h ʊ . ɹ ˈeɪ
accounts,ac.counts,ə k ˈaʊ n t s,ə . k ˈaʊ n t s
descriptions,de.scrip.tions,d ɪ s k ɹ ˈɪ p ʃ ə n z,d ɪ . s k ɹ ˈɪ p . ʃ ə n z
premiums,pre.mi.ums,p ɹ ˈi m i ə m z,p ɹ ˈi . m i . ə m z
aisles,aisles,ˈaɪ l z,ˈaɪ l z
twenty-ones,twen.ty.ones,t w ˈɛ n t i,t w ˈɛ n . t i . w ˈʌ n z
kings,kings,k ˈɪ ŋ z,k ˈɪ ŋ z
rifka,rif.ka,ɹ ˈɪ f k ə,ɹ ˈɪ f . k ə
allies,al.lies,ˈæ l aɪ z,ˈæ l . aɪ z
a_1,a,ə,ə
a_2,a,ˈeɪ,ˈeɪ
affect_1,af.fect,ˈæ f ɛ k t,ˈæ f . f ɛ k t
affect_2,af.fect,ə f ˈɛ k t,ə f . f ˈɛ k t
close_1,close,k l ˈoʊ z,k l ˈoʊ z
close_2,close,k l ˈoʊ s,k l ˈoʊ s
closer_1,clo.ser,k l ˈoʊ z ɚ,k l ˈoʊ . z ɚ
closer_2,clo.ser,k l ˈoʊ s ɚ,k l ˈoʊ . s ɚ
house_1,house,h ˈaʊ s,h ˈaʊ s
house_2,house,h ˈaʊ z,h ˈaʊ z
lead_1,lead,l ˈɛ d,l ˈɛ d
lead_2,lead,l ˈi d,l ˈi d
live_1,live,l ˈɪ v,l ˈɪ v
live_2,live,l ˈaɪ v,l ˈaɪ v
read_1,read,ɹ ˈi d,ɹ ˈi d
read_2,read,ɹ ˈɛ d,ɹ ˈɛ d
use_1,use,j ˈu z,j ˈu z
use_2,use,j ˈu s,j ˈu s
separate_1,sep.a.rate,s ˈɛ p ɚ ɪ t,s ˈɛ p . ɚ . ɪ t
separate_2,sep.a.rate,s ˈɛ p ɚ ˌeɪ t,s ˈɛ p . ɚ . ˌeɪ t
species,spe.cies,s p ˈi ʃ i z,s p ˈi . ʃ i z
don't,dont,d ˈoʊ n t,d ˈoʊ n t
around,a.round,ɚ ˈaʊ n d,ɚ . ɹ ˈaʊ n d
watching,watch.ing,w ˈɔ t͡ʃ ɪ ŋ,w ˈɔ t͡ʃ . ɪ ŋ
petri,pe.tri,p ˈɛ t ɹ i,p ˈɛ . t ɹ i
studied,stud.ied,s t ˈʌ d i d,s t ˈʌ d . i d
threatened,threat.ened,θ ɹ ˈɛ t ə n d,θ ɹ ˈɛ t . ə n d
lens,lens,l ˈɛ n z,l ˈɛ n z
skel,skel,s k ˈɛ l,s k ˈɛ l
zom,zom,z ə m,z ə m
knowledge,knowl.edge,n ˈɑ l ɪ d͡ʒ,n ˈɑ l . ɪ d͡ʒ
iconic,i.con.ic,aɪ k ˈɑ n ɪ k,aɪ . k ˈɑ n . ɪ k
skel's,skels,s k ˈɛ l z,s k ˈɛ l z
existing,ex.ist.ing,ɪ ɡ z ˈɪ s t ɪ ŋ,ɪ ɡ z . ˈɪ s t . ɪ ŋ
distracted,dis.trac.ted,d ɪ s t ɹ ˈæ k t ɪ d,d ɪ s . t ɹ ˈæ k . t ɪ d
can't,can't,k ˈæ n t,k ˈæ n t
settled,set.tled,s ˈɛ t ə l d,s ˈɛ t . t ə l d
forward,for.ward,f ˈɔ ɹ w ɚ d,f ˈɔ ɹ . w ɚ d
pet's,pets,p ˈɛ t s,p ˈɛ t s
herself,her.self,h ɚ s ˈɛ l f,h ɚ . s ˈɛ l f
lowest,low.est,l ˈoʊ ɪ s t,l ˈoʊ . ɪ s t
longer,long.er,l ˈɔ ŋ ɡ ɚ,l ˈɔ ŋ ɡ . ɚ
it's,its,ˈɪ t s,ˈɪ t s
toman,to.man,t ˈoʊ m ə n,t ˈoʊ m . ə n
doesn't,does.nt,d ˈʌ z ə n t,d ˈʌ z . ə n t
min,min,m ˈɪ n,m ˈɪ n
they'd,theyd,ð ˈeɪ d,ð ˈeɪ d
contented,con.tent.ed,k ə n t ˈɛ n t ɪ d,k ə n . t ˈɛ n t . ɪ d
you're,youre,j ˈʊ ɹ,j ˈʊ ɹ
hadn't,had.n't,h ˈæ d ə n t,h ˈæ d . ə n t
skink,skink,s k ˈɪ ŋ k,s k ˈɪ ŋ k
shouldn't,should.nt,ʃ ˈʊ d ə n t,ʃ ˈʊ d . ə n t
she's,hes,ʃ ˈi z,ʃ ˈi z
himself,him.self,h ɪ m s ˈɛ l f,h ɪ m . s ˈɛ l f
wasn't,was.nt,w ˈʌ z ə n t,w ˈʌ z . ə n t
that's,thats,ð ˈæ t s,ð ˈæ t s
darren's,dar.rens,d ˈɔ ɹ ə n z,d ˈɔ ɹ . ɹ ə n z
nodded,nod.ded,n ˈɑ d ɪ d,n ˈɑ d . d ɪ d
isn't,is.n't,ˈɪ z ə n t,ˈɪ z . ə n t
grin,grin,ɡ ɹ ˈɪ n,ɡ ɹ ˈɪ n
i've,ive,ˈaɪ v,ˈaɪ v
skink's,skinks,s k ˈɪ ŋ k s,s k ˈɪ ŋ k s
appeared,ap.peared,ə p ˈɪ ɹ d,ə p . p ˈɪ ɹ d
floated,float.ed,f l ˈoʊ t ɪ d,f l ˈoʊ t . ɪ d
created,cre.at.ed,k ɹ i ˈeɪ t ɪ d,k ɹ i . ˈeɪ t . ɪ d
knitted,knit.ted,n ˈɪ t ɪ d,n ˈɪ t . t ɪ d
lachlan's,lach.lans,l ˈæ k l ə n z,l ˈæ k . l ə n z
opened,op.ened,ˈoʊ p ə n d,ˈoʊ p . ə n d
weren't,were.nt,w ˈɚ n t,w ˈɚ . n t
peeking,peek.ing,p ˈi k ɪ ŋ,p ˈi k . ɪ ŋ
older,old.er,ˈoʊ l d ɚ,ˈoʊ l d . ɚ
i'm,im,ˈaɪ m,ˈaɪ m
we've,weve,w ˈi v,w ˈi v
who's,whos,h ˈu z,h ˈu z
didn't,did.nt,d ˈɪ d ə n t,d ˈɪ d . ə n t
decided,de.ci.ded,d ɪ s ˈaɪ d ɪ d,d ɪ . s ˈaɪ . d ɪ d
wouldn't,would.nt,w ˈʊ d ə n t,w ˈʊ d . ə n t
guided,guid.ed,ɡ ˈaɪ d ɪ d,ɡ ˈaɪ d . ɪ d
exhausted,ex.hausted,ɪ ɡ z ˈɔ s t ɪ d,ɪ ɡ z . ˈɔ s t ɪ d
bursting,burst.ing,b ˈɚ s t ɪ ŋ,b ˈɚ s t . ɪ ŋ
couldn't,could.n't,k ˈʊ d ə n t,k ˈʊ d . ə n t
tina's,ti.nas,t ˈi n ə z,t ˈi . n ə z
wishing,wish.ing,w ˈɪ ʃ ɪ ŋ,w ˈɪ ʃ . ɪ ŋ
